4335,Bonnyrigg Heights,3909,14,50
4337,Bonville,3909,14,50
4340,Booker Bay,3909,14,50
4344,Booragul,3909,14,50
4346,Boorowa,3909,14,50
4352,Bossley Park,3909,14,50
4354,Botany,3909,14,50
4355,Botany Bay,3909,14,50
4359,Bourke,3909,14,50
4360,Bourkelands,3909,14,50
4361,Bow Bowing,3909,14,50
4364,Bowen Mountain,3909,14,50
4365,Bowenfels,3909,14,50
4366,Bowral,3909,14,50
4367,Bowraville,3909,14,50
4376,Bradbury,3909,14,50
4379,Braidwood,3909,14,50
4382,Branxton,3909,14,50
4388,Breakfast Point,3909,14,50
4391,Brewarrina,3909,14,50
4406,Brighton-Le-Sands,3909,14,50
4408,Bringelly,3909,14,50
4415,Broadmeadow,3909,14,50
4420,Broken Hill,3909,14,50
4421,Broken Hill Municipality,3909,14,50
4423,Bronte,3909,14,50
4430,Brookvale,3909,14,50
4434,Broulee,3909,14,50
4441,Brunswick Heads,3909,14,50
4448,Budgewoi,3909,14,50
4449,Buff Point,3909,14,50
4450,Bulahdelah,3909,14,50
4454,Bullaburra,3909,14,50
4456,Bulli,3909,14,50
4468,Bundanoon,3909,14,50
4469,Bundeena,3909,14,50
4472,Bungarribee,3909,14,50
4473,Bungendore,3909,14,50
4490,Buronga,3909,14,50
4494,Burradoo,3909,14,50
4495,Burraneer,3909,14,50
4496,Burrill Lake,3909,14,50
4501,Burwood,3909,14,50
4503,Busby,3909,14,50
4508,Buttaba,3909,14,50
4509,Buxton,3909,14,50
4511,Byron Bay,3909,14,50
4512,Byron Shire,3909,14,50
4513,Bywong,3909,14,50
4514,Cabarita,3909,14,50
4517,Cabonne,3909,14,50
4520,Cabramatta,3909,14,50
4521,Cabramatta West,3909,14,50
4522,Caddens,3909,14,50
4527,Calala,3909,14,50
4531,Callaghan,3909,14,50
4532,Callala Bay,3909,14,50
4538,Cambewarra Village,3909,14,50
4542,Cambridge Gardens,3909,14,50
4543,Cambridge Park,3909,14,50
4544,Camden,3909,14,50
4545,Camden Haven,3909,14,50
4547,Camden South,3909,14,50
4548,Cameron Park,3909,14,50
4551,Cammeray,3909,14,50
4558,Campbelltown,3909,14,50
4560,Campbelltown Municipality,3909,14,50
4561,Camperdown,3909,14,50
4563,Campsie,3909,14,50
4564,Canada Bay,3909,14,50
4567,Canley Heights,3909,14,50
4568,Canley Vale,3909,14,50
4574,Canowindra,3909,14,50
4576,Canterbury,3909,14,50
4577,Canton Beach,3909,14,50
4585,Cardiff,3909,14,50
4586,Cardiff Heights,3909,14,50
4587,Cardiff South,3909,14,50
4595,Caringbah,3909,14,50
4596,Caringbah South,3909,14,50
4598,Carlingford,3909,14,50
4601,Carlton,3909,14,50
4606,Carnes Hill,3909,14,50
4609,Carramar,3909,14,50
4612,Carrathool,3909,14,50
4613,Carrington,3909,14,50
4617,Carss Park,3909,14,50
4618,Cartwright,3909,14,50
4619,Carwoola,3909,14,50
4623,Casino,3909,14,50
4626,Castle Cove,3909,14,50
4627,Castle Hill,3909,14,50
4628,Castlecrag,3909,14,50
4630,Castlereagh,3909,14,50
4632,Casuarina,3909,14,50
4634,Casula,3909,14,50
4635,Catalina,3909,14,50
4636,Catherine Field,3909,14,50
4642,Caves Beach,3909,14,50
4643,Cecil Hills,3909,14,50
4648,Centennial Park,3909,14,50
4650,Central Darling,3909,14,50
4655,Cessnock,3909,14,50
4657,Chain Valley Bay,3909,14,50
4665,Charlestown,3909,14,50
4668,Charmhaven,3909,14,50
4672,Chatswood,3909,14,50
4673,Chatswood West,3909,14,50
4683,Cherrybrook,3909,14,50
4684,Chester Hill,3909,14,50
4688,Chifley,3909,14,50
4693,Chinderah,3909,14,50
4694,Chippendale,3909,14,50
4695,Chipping Norton,3909,14,50
4698,Chiswick,3909,14,50
4699,Chittaway Bay,3909,14,50
4712,City of Sydney,3909,14,50
4719,Claremont Meadows,3909,14,50
4723,Clarence Town,3909,14,50
4724,Clarence Valley,3909,14,50
4729,Claymore,3909,14,50
4734,Clemton Park,3909,14,50
4745,Clontarf,3909,14,50
4746,Clovelly,3909,14,50
4752,Coal Point,3909,14,50
4753,Cobar,3909,14,50
4754,Cobbitty,3909,14,50
4763,Coffs Harbour,3909,14,50
4768,Coleambally,3909,14,50
4769,Colebee,3909,14,50
4770,Coledale,3909,14,50
4771,Collaroy,3909,14,50
4772,Collaroy Plateau,3909,14,50
4779,Colo Vale,3909,14,50
4781,Colyton,3909,14,50
4782,Como,3909,14,50
4784,Concord,3909,14,50
4785,Concord West,3909,14,50
4786,Condell Park,3909,14,50
4788,Condobolin,3909,14,50
4790,Coniston,3909,14,50
4791,Connells Point,3909,14,50
4793,Constitution Hill,3909,14,50
4798,Coogee,3909,14,50
4801,Cooks Hill,3909,14,50
4803,Coolah,3909,14,50
4804,Coolamon,3909,14,50
4813,Cooma,3909,14,50
4819,Coonabarabran,3909,14,50
4820,Coonamble,3909,14,50
4823,Cooranbong,3909,14,50
4828,Cootamundra,3909,14,50
4829,Copacabana,3909,14,50
4832,Coraki,3909,14,50
